TCGA-2A-A8VL-01	TCGA-2A-A8VL-10
TCGA-VP-A878-01	TCGA-VP-A878-10
TCGA-VP-A879-01	TCGA-VP-A879-10
TCGA-VP-A87B-01	TCGA-VP-A87B-10
TCGA-VP-A87C-01	TCGA-VP-A87C-10
TCGA-VP-A87D-01	TCGA-VP-A87D-10
TCGA-VP-A87E-01	TCGA-VP-A87E-10
TCGA-VP-A87H-01	TCGA-VP-A87H-10
TCGA-VP-A87J-01	TCGA-VP-A87J-10
TCGA-VP-A87K-01	TCGA-VP-A87K-10
TCGA-VP-AA1N-01	TCGA-VP-AA1N-10
TCGA-WW-A8ZI-01	TCGA-WW-A8ZI-10
TCGA-X4-A8KQ-01	TCGA-X4-A8KQ-10
TCGA-X4-A8KS-01	TCGA-X4-A8KS-10
TCGA-XA-A8JR-01	TCGA-XA-A8JR-10
TCGA-XJ-A83F-01	TCGA-XJ-A83F-10
TCGA-XJ-A83G-01	TCGA-XJ-A83G-10
TCGA-XJ-A83H-01	TCGA-XJ-A83H-10
TCGA-XJ-A9DI-01	TCGA-XJ-A9DI-10
TCGA-XJ-A9DK-01	TCGA-XJ-A9DK-10
TCGA-XJ-A9DQ-01	TCGA-XJ-A9DQ-10
TCGA-XJ-A9DX-01	TCGA-XJ-A9DX-10
TCGA-XK-AAIR-01	TCGA-XK-AAIR-10
TCGA-XK-AAIV-01	TCGA-XK-AAIV-10
TCGA-XK-AAIW-01	TCGA-XK-AAIW-10
TCGA-XK-AAJ3-01	TCGA-XK-AAJ3-10
TCGA-XK-AAJA-01	TCGA-XK-AAJA-10
TCGA-XK-AAJP-01	TCGA-XK-AAJP-10
TCGA-XK-AAJR-01	TCGA-XK-AAJR-10
TCGA-XK-AAJT-01	TCGA-XK-AAJT-10
TCGA-XK-AAJU-01	TCGA-XK-AAJU-10
TCGA-XK-AAK1-01	TCGA-XK-AAK1-10
TCGA-XQ-A8TA-01	TCGA-XQ-A8TA-10
TCGA-XQ-A8TB-01	TCGA-XQ-A8TB-10
TCGA-Y6-A8TL-01	TCGA-Y6-A8TL-10
TCGA-Y6-A9XI-01	TCGA-Y6-A9XI-10
TCGA-YJ-A8SW-01	TCGA-YJ-A8SW-10
