purity	ploidy	sample
0.93	2.2	TCGA-EJ-7789-01
0.38	2	TCGA-EJ-7791-01
0.22	2	TCGA-EJ-7792-01
0.34	2.1	TCGA-EJ-7793-01
0.15	2	TCGA-EJ-7794-01
0.37	2	TCGA-EJ-7797-01
0.52	1.9	TCGA-EJ-8468-01
0.8	2.1	TCGA-EJ-8469-01
0.45	1.9	TCGA-EJ-8470-01
0.63	3.9	TCGA-EJ-8472-01
0.18	1.8	TCGA-EJ-8474-01
0.28	1.9	TCGA-EJ-A46B-01
0.45	2	TCGA-EJ-A46D-01
0.37	2	TCGA-EJ-A46E-01
0.87	2	TCGA-EJ-A46F-01
0.73	2.2	TCGA-EJ-A46G-01
0.1	1.7	TCGA-EJ-A46H-01
0.1	1.6	TCGA-EJ-A46I-01
0.13	1.8	TCGA-EJ-A65B-01
0.95	2	TCGA-EJ-A65D-01
0.59	1.9	TCGA-EJ-A65E-01
0.65	2.1	TCGA-EJ-A65F-01
0.38	1.9	TCGA-EJ-A65G-01
0.83	2	TCGA-EJ-A65J-01
0.42	2	TCGA-EJ-A65M-01
0.27	1.9	TCGA-EJ-A6RA-01
0.1	1.5	TCGA-EJ-A6RC-01
0.73	1.9	TCGA-EJ-A7NF-01
0.43	1.9	TCGA-EJ-A7NG-01
0.16	5.5	TCGA-EJ-A7NH-01
0.35	1.9	TCGA-EJ-A7NJ-01
0.1	1.7	TCGA-EJ-A7NK-01
0.65	1.9	TCGA-EJ-A7NM-01
0.73	1.8	TCGA-EJ-A7NN-01
0.65	2	TCGA-EJ-A8FN-01
0.3	1.9	TCGA-EJ-A8FO-01
0.33	1.9	TCGA-EJ-A8FP-01
0.81	1.9	TCGA-EJ-A8FS-01
0.32	1.9	TCGA-EJ-A8FU-01
0.39	2	TCGA-EJ-AB20-01
0.1	1.6	TCGA-EJ-AB27-01
0.16	5.6	TCGA-FC-7708-01
0.25	5.6	TCGA-FC-7961-01
0.64	3.4	TCGA-FC-A4JI-01
0.8	2	TCGA-FC-A5OB-01
0.39	2	TCGA-FC-A66V-01
0.4	1.9	TCGA-FC-A6HD-01
0.31	1.9	TCGA-FC-A8O0-01
0.15	1.8	TCGA-G9-6329-01
0.57	5.6	TCGA-G9-6332-01
0.45	1.9	TCGA-G9-6333-01
0.31	1.9	TCGA-G9-6336-01
0.77	2	TCGA-G9-6338-01
0.38	1.9	TCGA-G9-6339-01
0.46	1.9	TCGA-G9-6342-01
0.1	1.9	TCGA-G9-6343-01
0.35	1.9	TCGA-G9-6347-01
0.33	1.9	TCGA-G9-6348-01
0.31	1.9	TCGA-G9-6351-01
0.32	1.9	TCGA-G9-6353-01
0.33	5.8	TCGA-G9-6354-01
0.35	2	TCGA-G9-6356-01
0.35	1.8	TCGA-G9-6361-01
0.84	2	TCGA-G9-6362-01
0.43	2	TCGA-G9-6363-01
0.55	1.9	TCGA-G9-6364-01
0.46	2	TCGA-G9-6365-01
0.59	2	TCGA-G9-6366-01
0.3	1.9	TCGA-G9-6367-01
0.85	1.9	TCGA-G9-6369-01
0.1	1.8	TCGA-G9-6370-01
0.12	1.7	TCGA-G9-6371-01
0.7	2	TCGA-G9-6373-01
0.4	5.7	TCGA-G9-6377-01
0.15	1.8	TCGA-G9-6378-01
0.14	1.8	TCGA-G9-6379-01
0.41	1.8	TCGA-G9-6384-01
0.29	1.9	TCGA-G9-6385-01
0.54	1.9	TCGA-G9-6494-01
0.8	2.1	TCGA-G9-6496-01
0.27	1.9	TCGA-G9-6498-01
0.21	3.8	TCGA-G9-6499-01
0.23	1.8	TCGA-G9-7509-01
0.3	1.9	TCGA-G9-7510-01
0.43	2	TCGA-G9-7519-01
0.39	3.7	TCGA-G9-7521-01
0.34	1.8	TCGA-G9-7522-01
0.14	1.5	TCGA-G9-7523-01
0.65	2.1	TCGA-G9-7525-01
0.57	1.9	TCGA-G9-A9S0-01
0.58	3.6	TCGA-G9-A9S4-01
0.57	1.9	TCGA-G9-A9S7-01
0.76	2	TCGA-H9-7775-01
0.26	1.9	TCGA-H9-A6BX-01
0.75	2	TCGA-H9-A6BY-01
0.33	1.9	TCGA-HC-7075-01
0.75	5.8	TCGA-HC-7077-01
0.72	2	TCGA-HC-7078-01
0.26	1.9	TCGA-HC-7079-01
0.88	1.9	TCGA-HC-7080-01
0.43	1.9	TCGA-HC-7081-01
0.53	1.9	TCGA-HC-7209-01
0.43	1.8	TCGA-HC-7210-01
0.67	1.7	TCGA-HC-7211-01
0.55	5.8	TCGA-HC-7212-01
0.62	5.5	TCGA-HC-7213-01
0.84	1.9	TCGA-HC-7230-01
0.52	1.9	TCGA-HC-7231-01
0.55	2	TCGA-HC-7232-01
0.1	1.7	TCGA-HC-7233-01
0.41	2.3	TCGA-HC-7736-01
0.1	1.9	TCGA-HC-7737-01
0.93	2.1	TCGA-HC-7738-01
0.95	2.1	TCGA-HC-7740-01
0.58	2	TCGA-HC-7742-01
0.91	2.1	TCGA-HC-7744-01
0.83	4.2	TCGA-HC-7745-01
0.13	2.1	TCGA-HC-7747-01
0.31	2	TCGA-HC-7748-01
0.96	2.2	TCGA-HC-7749-01
0.96	2.2	TCGA-HC-7750-01
0.91	2	TCGA-HC-7752-01
0.4	1.9	TCGA-HC-7817-01
0.34	1.9	TCGA-HC-7818-01
0.77	2	TCGA-HC-7819-01
0.45	1.9	TCGA-HC-7820-01
0.62	5.8	TCGA-HC-7821-01
0.33	1.9	TCGA-HC-8213-01
0.13	4.5	TCGA-HC-8216-01
0.4	2	TCGA-HC-8256-01
0.69	2	TCGA-HC-8257-01
0.62	1.9	TCGA-HC-8258-01
0.1	1.7	TCGA-HC-8259-01
0.85	2.1	TCGA-HC-8260-01
0.67	1.9	TCGA-HC-8261-01
