C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-EJ-8468-01A-21D-2395-08.1 C529.TCGA-EJ-8468-10A-01D-2395-08.1
C529.TCGA-EJ-8469-01A-11D-2395-08.2 C529.TCGA-EJ-8469-10A-01D-2395-08.2
C529.TCGA-EJ-8470-01A-11D-2395-08.2 C529.TCGA-EJ-8470-10A-01D-2395-08.2
C529.TCGA-EJ-8472-01A-11D-2395-08.2 C529.TCGA-EJ-8472-10A-01D-2395-08.2
C529.TCGA-EJ-8474-01A-11D-2395-08.1 C529.TCGA-EJ-8474-10A-01D-2395-08.2
C529.TCGA-EJ-A46B-01A-31D-A257-08.1 C529.TCGA-EJ-A46B-10A-01D-A25A-08.2
C529.TCGA-EJ-A46D-01A-21D-A257-08.1 C529.TCGA-EJ-A46D-10A-01D-A25A-08.1
C529.TCGA-EJ-A46E-01A-31D-A257-08.2 C529.TCGA-EJ-A46E-10A-01D-A25A-08.1
C529.TCGA-EJ-A46F-01A-31D-A257-08.2 C529.TCGA-EJ-A46F-10A-01D-A25A-08.1
C529.TCGA-EJ-A46G-01A-31D-A26M-08.4 C529.TCGA-EJ-A46G-10A-01D-A26K-08.4
C529.TCGA-EJ-A46H-01A-31D-A26M-08.4 C529.TCGA-EJ-A46H-10A-01D-A26K-08.4
C529.TCGA-EJ-A46I-01A-12D-A26M-08.4 C529.TCGA-EJ-A46I-10A-01D-A26K-08.4
C529.TCGA-EJ-A65B-01A-12D-A30E-08.1 C529.TCGA-EJ-A65B-10A-01D-A30H-08.1
C529.TCGA-EJ-A65D-01A-11D-A30E-08.1 C529.TCGA-EJ-A65D-10A-01D-A30H-08.1
C529.TCGA-EJ-A65E-01A-11D-A29Q-08.5 C529.TCGA-EJ-A65E-10A-01D-A29Q-08.2
C529.TCGA-EJ-A65F-01A-21D-A30X-08.1 C529.TCGA-EJ-A65F-10A-01D-A30X-08.1
