SRR4044012	SRR4043991
SRR4043795	SRR4043982
SRR4043939	SRR4043888
SRR4044006	SRR4043818
SRR4043960	SRR4043865
SRR4043933	SRR4043808
SRR4043868	SRR4043782
SRR4043833	SRR4043882
SRR4043892	SRR4043861
SRR4043832	SRR4043885
SRR4043956	SRR4043815
SRR4043953	SRR4043859
SRR4043934	SRR4043872
SRR4043822	SRR4043792
SRR4043826	SRR4043784
SRR4043931	SRR4044018
SRR4043910	SRR4043976
SRR4043848	SRR4043871
SRR4043989	SRR4043891
SRR4043825	SRR4044022
SRR4043866	SRR4043998
SRR4043840	SRR4043944
SRR4044024	SRR4043896
SRR4043800	SRR4043884
SRR4043902	SRR4043789
SRR4043949	SRR4043883
SRR4043799	SRR4043870
SRR4043852	SRR4043916
SRR4043941	SRR4043922
SRR4043993	SRR4044000
SRR4043977	SRR4043867
SRR4044014	SRR4043863
SRR4043845	SRR4043798
SRR4043890	SRR4043924
SRR4043830	SRR4044011
SRR4043988	SRR4043788
SRR4044009	SRR4043946
SRR4043918	SRR4043913
SRR4043791	SRR4044007
SRR4043806	SRR4043978
SRR469952	SRR470048
SRR461489	SRR466793
SRR477466	SRR475725
SRR478005	SRR476005
SRR477710	SRR476179
SRR486768	SRR476707
TCGA-J9-A8CN-01	TCGA-J9-A8CN-10
TCGA-V1-A8MM-01	TCGA-V1-A8MM-10
TCGA-EJ-A46H-01	TCGA-EJ-A46H-10
TCGA-HC-7078-01	TCGA-HC-7078-10
TCGA-VN-A88K-01	TCGA-VN-A88K-10
TCGA-2A-A8VL-01	TCGA-2A-A8VL-10
TCGA-HC-7821-01	TCGA-HC-7821-10
TCGA-J4-A67K-01	TCGA-J4-A67K-10
TCGA-ZG-A9LN-01	TCGA-ZG-A9LN-10
TCGA-M7-A721-01	TCGA-M7-A721-10
TCGA-V1-A9OH-01	TCGA-V1-A9OH-10
TCGA-HC-A8D0-01	TCGA-HC-A8D0-10
TCGA-CH-5768-01	TCGA-CH-5768-11
TCGA-KK-A7B1-01	TCGA-KK-A7B1-11
TCGA-2A-A8VX-01	TCGA-2A-A8VX-10
TCGA-V1-A8MK-01	TCGA-V1-A8MK-10
TCGA-HC-A8D1-01	TCGA-HC-A8D1-10
TCGA-KK-A7AY-01	TCGA-KK-A7AY-11
TCGA-KK-A8IJ-01	TCGA-KK-A8IJ-11
TCGA-YL-A8SF-01	TCGA-YL-A8SF-10
TCGA-KK-A8I4-01	TCGA-KK-A8I4-11
TCGA-X4-A8KS-01	TCGA-X4-A8KS-10
TCGA-YL-A9WX-01	TCGA-YL-A9WX-10
TCGA-VP-A87C-01	TCGA-VP-A87C-10
TCGA-J4-AATZ-01	TCGA-J4-AATZ-10
TCGA-YL-A8SO-01	TCGA-YL-A8SO-10
TCGA-EJ-5505-01	TCGA-EJ-5505-10
TCGA-HC-7748-01	TCGA-HC-7748-10
TCGA-Y6-A9XI-01	TCGA-Y6-A9XI-10
TCGA-HC-A6AQ-01	TCGA-HC-A6AQ-10
TCGA-KC-A7FA-01	TCGA-KC-A7FA-10
TCGA-EJ-A46I-01	TCGA-EJ-A46I-10
TCGA-HC-7736-01	TCGA-HC-7736-10
TCGA-J9-A52E-01	TCGA-J9-A52E-10
TCGA-ZG-A9NI-01	TCGA-ZG-A9NI-10
TCGA-EJ-5530-01	TCGA-EJ-5530-10
TCGA-G9-6385-01	TCGA-G9-6385-10
TCGA-EJ-7793-01	TCGA-EJ-7793-10
TCGA-EJ-7321-01	TCGA-EJ-7321-10
TCGA-J4-A67S-01	TCGA-J4-A67S-10
TCGA-YL-A8HL-01	TCGA-YL-A8HL-10
TCGA-H9-A6BX-01	TCGA-H9-A6BX-10
TCGA-G9-6362-01	TCGA-G9-6362-10
TCGA-CH-5789-01	TCGA-CH-5789-10
TCGA-KK-A59Z-01	TCGA-KK-A59Z-11
TCGA-KK-A8ID-01	TCGA-KK-A8ID-11
TCGA-G9-6378-01	TCGA-G9-6378-10
TCGA-EJ-5524-01	TCGA-EJ-5524-10
TCGA-HC-7231-01	TCGA-HC-7231-10
TCGA-HC-7213-01	TCGA-HC-7213-10
TCGA-KK-A8I8-01	TCGA-KK-A8I8-11
TCGA-CH-5754-01	TCGA-CH-5754-10
TCGA-FC-A8O0-01	TCGA-FC-A8O0-10
TCGA-XJ-A9DQ-01	TCGA-XJ-A9DQ-10
TCGA-EJ-7797-01	TCGA-EJ-7797-10
TCGA-XA-A8JR-01	TCGA-XA-A8JR-10
TCGA-EJ-5516-01	TCGA-EJ-5516-10
TCGA-EJ-8469-01	TCGA-EJ-8469-10
TCGA-J9-A52B-01	TCGA-J9-A52B-10
TCGA-CH-5767-01	TCGA-CH-5767-11
TCGA-KC-A4BO-01	TCGA-KC-A4BO-10
TCGA-EJ-7331-01	TCGA-EJ-7331-10
TCGA-XK-AAK1-01	TCGA-XK-AAK1-10
TCGA-EJ-AB20-01	TCGA-EJ-AB20-10
TCGA-HC-8213-01	TCGA-HC-8213-10
TCGA-J4-A6G1-01	TCGA-J4-A6G1-10
TCGA-G9-6336-01	TCGA-G9-6336-10
TCGA-J4-A67Q-01	TCGA-J4-A67Q-10
TCGA-ZG-A9LS-01	TCGA-ZG-A9LS-10
TCGA-KK-A59X-01	TCGA-KK-A59X-11
TCGA-KC-A7FE-01	TCGA-KC-A7FE-10
TCGA-HC-7819-01	TCGA-HC-7819-10
TCGA-HC-8257-01	TCGA-HC-8257-10
TCGA-G9-6366-01	TCGA-G9-6366-10
TCGA-J4-A83L-01	TCGA-J4-A83L-10
TCGA-HC-8259-01	TCGA-HC-8259-10
TCGA-XQ-A8TB-01	TCGA-XQ-A8TB-10
TCGA-KK-A6E1-01	TCGA-KK-A6E1-11
TCGA-VP-A878-01	TCGA-VP-A878-10
TCGA-VP-A872-01	TCGA-VP-A872-10
TCGA-G9-6356-01	TCGA-G9-6356-10
TCGA-J4-AATV-01	TCGA-J4-AATV-10
TCGA-YL-A9WH-01	TCGA-YL-A9WH-10
TCGA-HC-8260-01	TCGA-HC-8260-10
TCGA-KK-A7AU-01	TCGA-KK-A7AU-11
TCGA-KK-A59Y-01	TCGA-KK-A59Y-11
TCGA-2A-A8VV-01	TCGA-2A-A8VV-10
TCGA-KC-A7F6-01	TCGA-KC-A7F6-10
TCGA-EJ-7123-01	TCGA-EJ-7123-10
TCGA-V1-A8WV-01	TCGA-V1-A8WV-10
TCGA-V1-A9OY-01	TCGA-V1-A9OY-10
TCGA-HC-7742-01	TCGA-HC-7742-10
TCGA-KK-A7B0-01	TCGA-KK-A7B0-11
TCGA-EJ-7125-01	TCGA-EJ-7125-10
TCGA-VN-A88P-01	TCGA-VN-A88P-10
TCGA-ZG-A9KY-01	TCGA-ZG-A9KY-10
TCGA-CH-5748-01	TCGA-CH-5748-10
TCGA-KK-A8IC-01	TCGA-KK-A8IC-11
TCGA-CH-5739-01	TCGA-CH-5739-10
TCGA-M7-A725-01	TCGA-M7-A725-10
TCGA-HC-A76W-01	TCGA-HC-A76W-10
TCGA-XQ-A8TA-01	TCGA-XQ-A8TA-10
TCGA-VN-A88O-01	TCGA-VN-A88O-10
TCGA-ZG-A9LM-01	TCGA-ZG-A9LM-10
TCGA-EJ-AB27-01	TCGA-EJ-AB27-10
TCGA-G9-6351-01	TCGA-G9-6351-10
TCGA-HI-7169-01	TCGA-HI-7169-10
TCGA-J4-A67T-01	TCGA-J4-A67T-10
TCGA-G9-6347-01	TCGA-G9-6347-10
TCGA-ZG-A9M4-01	TCGA-ZG-A9M4-10
TCGA-QU-A6IO-01	TCGA-QU-A6IO-10
TCGA-CH-5764-01	TCGA-CH-5764-11
TCGA-KK-A7AZ-01	TCGA-KK-A7AZ-11
TCGA-G9-6353-01	TCGA-G9-6353-10
TCGA-EJ-A65G-01	TCGA-EJ-A65G-10
TCGA-G9-7510-01	TCGA-G9-7510-10
TCGA-EJ-7325-01	TCGA-EJ-7325-10
TCGA-M7-A71Y-01	TCGA-M7-A71Y-10
TCGA-G9-6498-01	TCGA-G9-6498-10
TCGA-HC-A632-01	TCGA-HC-A632-10
TCGA-HC-7820-01	TCGA-HC-7820-10
TCGA-J4-A83J-01	TCGA-J4-A83J-10
TCGA-ZG-A9LZ-01	TCGA-ZG-A9LZ-10
TCGA-EJ-5522-01	TCGA-EJ-5522-10
TCGA-EJ-5502-01	TCGA-EJ-5502-10
TCGA-EJ-7786-01	TCGA-EJ-7786-10
TCGA-G9-6370-01	TCGA-G9-6370-10
TCGA-HC-A6AS-01	TCGA-HC-A6AS-10
TCGA-EJ-A46B-01	TCGA-EJ-A46B-10
TCGA-J4-A83N-01	TCGA-J4-A83N-10
TCGA-EJ-5542-01	TCGA-EJ-5542-10
TCGA-KC-A4BV-01	TCGA-KC-A4BV-10
TCGA-M7-A723-01	TCGA-M7-A723-10
TCGA-HC-A4ZV-01	TCGA-HC-A4ZV-10
TCGA-HC-7817-01	TCGA-HC-7817-10
TCGA-EJ-5501-01	TCGA-EJ-5501-10
TCGA-EJ-7318-01	TCGA-EJ-7318-10
TCGA-VP-A87D-01	TCGA-VP-A87D-10
TCGA-J9-A52D-01	TCGA-J9-A52D-10
TCGA-HC-A76X-01	TCGA-HC-A76X-10
TCGA-2A-A8W3-01	TCGA-2A-A8W3-10
TCGA-FC-A6HD-01	TCGA-FC-A6HD-10
TCGA-ZG-A9L2-01	TCGA-ZG-A9L2-10
TCGA-FC-A5OB-01	TCGA-FC-A5OB-10
TCGA-YL-A8HK-01	TCGA-YL-A8HK-10
TCGA-G9-6348-01	TCGA-G9-6348-10
TCGA-YL-A8SL-01	TCGA-YL-A8SL-10
TCGA-EJ-5519-01	TCGA-EJ-5519-10
TCGA-EJ-A8FS-01	TCGA-EJ-A8FS-10
TCGA-J4-A67O-01	TCGA-J4-A67O-10
TCGA-ZG-A8QW-01	TCGA-ZG-A8QW-10
TCGA-ZG-A9L6-01	TCGA-ZG-A9L6-10
TCGA-VN-A88I-01	TCGA-VN-A88I-10
